platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Philippines,Asia,Filipino,Science,#FYP,AI Tools You Must Try in 2025,StudyWithNoor,trending,Microscope hum,7,34,55637,4719,545,292,292,0.10511,stable,TikTok Creative Center,text-to-speech,Android,8,Tech,7,Short,7948.14,197,0.009796,0.005248,0.005248,23.833333,Friday,Morning,SummerBreak,"ai, tools, apps, tech",Can’t stop watching 😂,76729.8,Mid,Summer,14.02.2025,2025-02,My Favorite Budget Apps,23,0,22.5,0.662,Samsung,ForYou,1,069444cf769457a118203499a88fe06a,5848,0.084818,0.003541,105.11,0.0848176573143771,0.0097956395923576,0.0052483059834282
TikTok,China,Asia,Chinese,Pets,#Travel,Hidden Gems of Istanbul,TravelByYoussef,original,Cute whistle,35,26,27591,1742,194,134,304,0.086043,seasonal,Open Web Samples,greenscreen,Web,13,Travel,6,Short,4598.5,45,0.007031,0.004857,0.011018,37.869565,Friday,Afternoon,Regular,"travel, vlog, food tour, guide",So underrated!,94144.9,Mid,Spring,29.08.2025,2025-08,Street Food Tour — Dubai 💪,26,1,18.1,0.696,Desktop,Search,1,98242c9b1ed97399715b601ce1cd8c1c,2374,0.063137,0.001631,86.043,0.0631365300279076,0.0070312783153927,0.0048566561559928
YouTube,China,Asia,Chinese,Comedy,#Makeup,Skincare routine for Productivity,LeilaVlogs,licensed,Clap beat,17,43,33829,1189,114,164,219,0.049839,seasonal,TikTok Creative Center,tutorial overlay,Android,16,Beauty,5,Short,6765.8,172,0.00337,0.004848,0.006474,6.872832,Friday,Afternoon,HolidaySeason,"tips, beauty, grwm, skincare",This is fire 🔥,83079.0,Mid,Winter,25.04.2025,2025-04,GRWM — Office Look ✨,20,1,30.9,0.719,Oppo,Home,1,d0dd1027ed6e69ea7bd2e1a82043c84a,1686,0.035147,0.005084,49.839,0.0351473587750155,0.0033698897395725,0.0048479115551745
YouTube,Australia,Oceania,English,Travel,#FYP,POV: Beginners,YukiPro,trending,Waves & bells,21,46,37286,1295,141,121,82,0.043958,seasonal,TikTok Creative Center,b-roll heavy,iOS,17,Comedy,19,Medium,1962.42,101,0.003782,0.003245,0.002199,12.696078,Wednesday,Evening,SummerBreak,"sketch, relatable, comedy",This is fire 🔥,80382.1,Mid,Summer,21.05.2025,2025-05,If 2025 was honest,18,0,23.2,0.504,Xiaomi,Suggested,0,3ee3397e2800e07cd8047c33f106f6e6,1639,0.034732,0.002709,43.958,0.0347315346242557,0.0037815802177761,0.0032451858606447
YouTube,Italy,Europe,Italian,Sports,#Beauty,Makeup basics you need,LucasYT,licensed,Drumline,24,78,132146,6919,493,651,424,0.064224,declining,TikTok Creative Center,subtitles,Android,13,Beauty,5,Short,26429.2,178,0.003731,0.004926,0.003209,38.653631,Saturday,Afternoon,SummerBreak,"skincare, tips, beauty, grwm",So underrated!,81897.0,Mid,Summer,14.06.2025,2025-06,Makeup Basics You Need 💪,24,1,54.3,0.696,iPhone,Suggested,1,8b7ba8391205de417f8321447b7dbfc5,8487,0.052359,0.001347,64.224,0.0523587547106987,0.0037307220801235,0.0049263693187837
YouTube,France,Europe,French,Education,#DanceChallenge,Morning Routine — Budget,JiwooTV,original,Calm piano,10,40,99027,2369,199,204,145,0.029457,stable,Public Reports,split-screen,Android,12,Dance,59,Evergreen,1678.42,93,0.00201,0.00206,0.001464,25.202128,Saturday,Afternoon,BackToSchool,"dance, challenge, music, trend",Incroyable !,95832.5,Mid,Fall,08.03.2025,2025-03,New Dance Challenge! ⚽,22,1,29.5,0.738,iPhone,Search,1,0a99543a453b869851ae6385b13e23c3,2917,0.023923,0.000939,29.457,0.0239227685378735,0.0020095529502054,0.0020600442303614
TikTok,Brazil,South America,Portuguese,News,#Football,Weekly Reset — Summer,GuruLina,licensed,Ticker bed,12,25,31445,2203,299,183,141,0.089871,seasonal,TikTok Creative Center,b-roll heavy,Android,8,Sports,21,Medium,1497.38,85,0.009509,0.00582,0.004484,25.616279,Thursday,Morning,Regular,"gym, sports, football",Instant like!,91901.2,Mid,Spring,20.03.2025,2025-03,Workout you can’t skip 📱,24,1,13.6,0.544,Samsung,Following,0,b7e1f3002afcec790a52ec58579691db,2826,0.070059,0.002703,89.871,0.0700588328828112,0.0095086659246303,0.005819685164573
TikTok,Colombia,South America,Spanish,Education,#DanceChallenge,Weekly Reset — Beginners,LinaPro,licensed,Chalkboard beat,15,39,1006506,80493,8851,5823,6995,0.101502,stable,Public Reports,storytime,Android,10,Dance,4,Short,251626.5,881,0.008794,0.005785,0.00695,91.261905,Friday,Morning,Regular,"dance, music, trend, challenge",¡Increíble!,105616.0,Mid,Winter,11.04.2025,2025-04,Try this move 👉,15,0,21.7,0.556,Huawei,ForYou,1,6f16a728c75b73bcbc9f66c308de41ed,102162,0.079973,0.000875,101.502,0.0799726976292242,0.0087937876177588,0.0057853604449451
TikTok,Philippines,Asia,Filipino,Education,#DogTok,Morning Routine — College,BeautyByNoor,original,Soft focus,14,23,281664,17380,2013,1290,1088,0.077294,declining,Public Reports,meme template,iOS,22,Pets,18,Medium,15648.0,345,0.007147,0.00458,0.003863,50.231214,Friday,Evening,Regular,"cats, cute, pets, dogs",Instant like!,118050.1,Mid,Winter,04.04.2025,2025-04,Dog fails you can’t miss 📱,26,1,14.2,0.617,Samsung,ForYou,1,4a0d6210c2d0487296e04771b8db94d1,21771,0.061705,0.001225,77.294,0.0617047261985912,0.0071468132242672,0.0045799250170415
TikTok,United Kingdom,Europe,English,Sports,#FYP,Hidden Gems of Seoul,OmarShorts,original,Adrenaline synth,32,16,39442,2378,325,179,503,0.085822,rising,TikTok Creative Center,greenscreen,iOS,21,Travel,20,Medium,1972.1,59,0.00824,0.004538,0.012753,39.633333,Wednesday,Evening,Regular,"hidden gems, guide, travel, food tour",So underrated!,97694.6,Mid,Spring,06.08.2025,2025-08,Street Food Tour — New York,27,0,8.1,0.506,Samsung,Search,0,8db1e03e9d10f3ccba627a07822ba168,3385,0.060291,0.001496,85.822,0.0602910602910602,0.0082399472643375,0.0045383094163581
TikTok,Sweden,Europe,Swedish,Fitness,#BookTok,Night Routine — Productivity,YukiShorts,original,Cardio loop,29,18,16563,1327,120,149,197,0.108253,rising,Open Web Samples,meme template,iOS,22,Education,11,Medium,1505.73,12,0.007245,0.008996,0.011894,102.076923,Saturday,Evening,BackToSchool,"productivity, tips, notes, study",So underrated!,119864.1,Mid,Fall,19.07.2025,2025-07,How I Take Notes for Productivity 📱,35,1,15.3,0.85,Vivo,Search,1,d1226bf74df897578d947fc568a1668d,1793,0.080118,0.000725,108.253,0.0801183360502324,0.0072450642999456,0.0089959548390991
YouTube,Kenya,Africa,Swahili,Tech,#Tech,My Favorite Beginners Apps,DailyVlogsYuki,licensed,Circuit synth,9,25,79915,1250,123,126,79,0.019746,seasonal,TikTok Creative Center,cinematic b-roll,iOS,22,Tech,5,Short,15983.0,55,0.001539,0.001577,0.000989,22.321429,Friday,Evening,Regular,"apps, tools, tech, tutorial, ai",Can’t stop watching 😂,113750.9,Mid,Fall,28.02.2025,2025-02,My Favorite Budget Apps,23,0,17.7,0.708,iPhone,Search,1,477b91eae5e9d860d867ad567b1c3b44,1578,0.015642,0.000688,19.746,0.0156416192204216,0.0015391353312894,0.0015766752174185
YouTube,South Africa,Africa,English,Fitness,#FYP,When your friend is Productivity,AliYT,licensed,Cardio loop,9,65,31909,1133,150,128,132,0.048356,declining,TikTok Creative Center,meme template,iOS,23,Comedy,41,Evergreen,778.27,88,0.004701,0.004011,0.004137,12.730337,Thursday,Night,Regular,"sketch, comedy, relatable",Thanks for this!,108133.7,Mid,Fall,27.02.2025,2025-02,If Productivity was honest,26,0,44.4,0.683,Samsung,Search,0,00727299c48fae298bf2b4874f1a3ca0,1543,0.035507,0.002758,48.356,0.0355072236673039,0.0047008680936412,0.0040114074399072
YouTube,Brazil,South America,Portuguese,Fashion,#FYP,POV: Beginners,EmilyPro,original,Runway loop,17,74,228816,8728,1216,596,725,0.049232,rising,TikTok Creative Center,tutorial overlay,iOS,14,Comedy,6,Short,38136.0,725,0.005314,0.002605,0.003168,12.022039,Friday,Afternoon,HolidaySeason,"comedy, sketch, funny, relatable",So underrated!,93745.1,Mid,Winter,25.04.2025,2025-04,If 2025 was honest,18,0,53.3,0.72,iPhone,Home,1,588c8d81eae8705db579db120f6b07ac,11265,0.038144,0.003168,49.232,0.0381441857212782,0.0053143136843577,0.0026047129571358
TikTok,Nigeria,Africa,English,Science,#FYP,Weekly Reset — Budget,BeyondHub,original,Cosmic pad,23,33,178376,11621,1650,1297,1720,0.091313,seasonal,Public Reports,storytime,Android,8,Sports,5,Short,35675.2,76,0.00925,0.007271,0.009643,150.922078,Monday,Morning,Regular,"workout, football, sports, gym",So underrated!,108139.9,Mid,Spring,02.06.2025,2025-06,Football skills in 60s,22,0,24.1,0.73,Samsung,ForYou,0,f6ee100286820083d62184addd291f60,16288,0.065149,0.000426,91.313,0.0651488989550163,0.0092501233349778,0.007271157554828
TikTok,Colombia,South America,Spanish,Travel,#Wanderlust,Hidden Gems of Paris,TravelByLiam,trending,Backpack beat,5,34,37683,1907,315,141,286,0.070297,declining,TikTok Creative Center,text-to-speech,Android,23,Travel,14,Medium,2691.64,76,0.008359,0.003742,0.00759,24.766234,Friday,Night,SummerBreak,"hidden gems, guide, travel, vlog",No puedo parar de mirar 😂,81381.2,Mid,Summer,31.01.2025,2025-01,Street Food Tour — Dubai 🍔,26,1,19.5,0.574,Oppo,Following,1,e8f09621dca4e0fb23f49db2e5f885c3,2649,0.050606,0.002017,70.297,0.050606374227105,0.0083592070695008,0.0037417403073003
YouTube,Brazil,South America,Portuguese,Lifestyle,#Foodie,I tried making Croissant,ChannelSofia,licensed,Chill guitar,7,55,52710,1784,200,134,111,0.042288,declining,TikTok Creative Center,text-to-speech,Android,16,Food,17,Medium,3100.59,63,0.003794,0.002542,0.002106,27.875,Thursday,Afternoon,SummerBreak,"street food, kitchen, food, recipe",So underrated!,75277.5,Mid,Summer,13.02.2025,2025-02,I tried making Croissant,24,0,29.0,0.527,Vivo,Home,0,9995ed6945f2eb5c9effc68bf517b5ea,2229,0.033846,0.001195,42.288,0.0338455701005501,0.0037943464238284,0.002542212103965
TikTok,Philippines,Asia,Filipino,News,#FYP,How to style 2025,StudyWithLiam,licensed,Ambient pulse,31,25,48024,3124,318,198,191,0.079773,rising,TikTok Creative Center,greenscreen,Web,18,Fashion,5,Short,9604.8,62,0.006622,0.004123,0.003977,49.587302,Friday,Evening,SummerBreak,"ootd, fashion, style",So underrated!,78162.1,Mid,Summer,01.08.2025,2025-08,Outfits for Summer 🎵,20,1,19.7,0.788,Desktop,External,1,e0bf8aeff7d278e9e2f8e3dd5bc953dd,3831,0.065051,0.001291,79.773,0.0650508079293686,0.0066216891554222,0.0041229385307346
TikTok,Poland,Europe,Polish,Sports,#Lifestyle,Night Routine — Productivity,VividWorks,trending,Adrenaline synth,15,34,176819,13551,1895,1506,892,0.100917,rising,TikTok Creative Center,b-roll heavy,iOS,12,Lifestyle,17,Medium,10401.12,585,0.010717,0.008517,0.005045,23.124573,Friday,Afternoon,Regular,"daily, motivation, lifestyle, routine",This is fire 🔥,129372.5,Mid,Spring,11.04.2025,2025-04,Night Routine — Beginners ✨,27,1,18.2,0.535,Samsung,External,1,daca98671eead0d7a5cf095f69f29d12,17844,0.076638,0.003308,100.917,0.0766376916507841,0.0107171740593488,0.0085171842392503
TikTok,Brazil,South America,Portuguese,Pets,#FYP,Night Routine — Beginners,MissNoah,trending,Bark hop,25,22,78104,6500,675,818,1048,0.115756,declining,TikTok Creative Center,jumpcut edits,Android,23,Pets,4,Short,19526.0,80,0.008642,0.010473,0.013418,80.246914,Friday,Night,Regular,"pets, dogs, cute, cats",So underrated!,113307.8,Mid,Spring,20.06.2025,2025-06,Dog fails you can’t miss,24,0,15.7,0.714,Xiaomi,ForYou,1,c5155c1710093188ef9d1beb5f3c354b,9041,0.083222,0.001024,115.756,0.0832223701731025,0.0086423230564375,0.0104732152002458
TikTok,Turkey,Europe,Turkish,Automotive,#FYP,Street Food Tour in Tokyo,TechieAva,licensed,Highway synth,17,33,204793,22180,1486,1708,3668,0.141811,rising,Public Reports,tutorial overlay,iOS,3,Travel,5,Short,40958.6,272,0.007256,0.00834,0.017911,81.245421,Wednesday,Night,Regular,"food tour, vlog, hidden gems, travel, guide",Instant like!,90345.1,Mid,Winter,23.04.2025,2025-04,24 Hours in Tokyo,17,0,18.5,0.561,Pixel,ForYou,0,4d4f2f3b2cfc54f3ab6ee86cf0c809dc,29042,0.108304,0.001328,141.811,0.1083044830633859,0.0072561073864829,0.0083401288129965
YouTube,Nigeria,Africa,English,Fashion,#Fashion,GRWM: 2025 Edition,MissHassan,original,Aesthetic synth,3,47,26758,1248,102,142,78,0.058674,stable,TikTok Creative Center,meme template,iOS,10,Fashion,7,Short,3822.57,132,0.003812,0.005307,0.002915,9.383459,Thursday,Morning,SummerBreak,"fashion, ootd, grwm, style",So underrated!,82918.8,Mid,Summer,16.01.2025,2025-01,GRWM: Minimal Edition,21,0,27.6,0.587,iPhone,Suggested,0,e83939b9e801376c2e8136e1a0009db2,1570,0.04664,0.004933,58.674,0.0466402571193661,0.0038119440914866,0.0053068241273637
YouTube,Poland,Europe,Polish,Travel,#DogTok,Night Routine — College,LeilaShorts,licensed,Waves & bells,4,48,130899,6689,806,560,424,0.064775,seasonal,Public Reports,b-roll heavy,Android,22,Pets,11,Medium,11899.91,186,0.006157,0.004278,0.003239,35.770053,Friday,Evening,Regular,"dogs, pets, cute",So underrated!,91135.1,Mid,Spring,24.01.2025,2025-01,Cutest moments today 💪,22,1,33.8,0.704,Samsung,Home,1,82e6569c08ae4053b52da1a24eaf06b7,8479,0.0511,0.001421,64.775,0.0511004667720914,0.0061574190788317,0.0042781075485679
YouTube,Colombia,South America,Spanish,Tech,#LearnOnTikTok,Night Routine — Beginners,DrSara,licensed,Circuit synth,19,64,111276,5989,391,601,552,0.067697,stable,Public Reports,greenscreen,Android,19,Education,7,Short,15896.57,769,0.003514,0.005401,0.004961,7.777922,Monday,Evening,Regular,"productivity, tips, notes, study, learn",Gracias por compartir,106751.2,Mid,Winter,05.05.2025,2025-05,Exam Day Routine,16,0,29.0,0.453,Xiaomi,Suggested,0,57e4c8443434151e6fa2f338dde5e31b,7533,0.053821,0.006911,67.697,0.0538211294439052,0.0035137855422552,0.0054009849383514
TikTok,Australia,Oceania,English,Beauty,#FYP,Morning Routine — College,UrbanStudio,trending,Soft glam loop,6,21,30850,1650,250,137,107,0.069498,seasonal,TikTok Creative Center,hook in 2s,Android,15,Lifestyle,4,Short,7712.5,31,0.008104,0.004441,0.003468,51.5625,Friday,Afternoon,Regular,"motivation, daily, lifestyle",Can’t stop watching 😂,83077.8,Mid,Fall,07.02.2025,2025-02,Night Routine — Summer 🧠,24,1,15.9,0.757,Huawei,ForYou,1,4c74080c918807eecc08477fe185ee10,2144,0.053485,0.001005,69.498,0.0534846029173419,0.0081037277147487,0.0044408427876823
TikTok,Mexico,North America,Spanish,Lifestyle,#BookTok,Morning Routine — Budget,MissOlivia,trending,Sunset pad,23,43,32019,1141,119,120,72,0.045348,rising,TikTok Creative Center,emoji overlays,iOS,9,Education,3,Short,10673.0,53,0.003717,0.003748,0.002249,21.12963,Sunday,Morning,SummerBreak,"tips, learn, notes, study",No puedo parar de mirar 😂,125209.9,Mid,Summer,08.06.2025,2025-06,Exam Day Routine 🎵,18,1,31.4,0.73,Samsung,Following,1,15f592ba399444e389f68978d5824c00,1452,0.035635,0.001655,45.348,0.0356350916643243,0.0037165433024141,0.003747774758737
YouTube,Egypt,Africa,Arabic,News,#Relatable,If Summer was honest,VividStudio,trending,Neutral piano,24,73,44356,2741,281,195,278,0.078794,seasonal,TikTok Creative Center,b-roll heavy,Android,20,Comedy,48,Evergreen,924.08,371,0.006335,0.004396,0.006267,7.36828,Friday,Evening,Ramadan,"comedy, funny, sketch, relatable",جامد جدًا 🔥,88276.0,Mid,Spring,13.06.2025,2025-06,When your friend is 2025,24,0,53.7,0.736,Oppo,External,1,d6c467fb4f651ea9c708f9f075cc22d7,3495,0.061795,0.008364,78.794,0.0617954729912525,0.0063351068626566,0.0043962485345838
TikTok,Russia,Europe,Russian,Automotive,#FYP,Weekly Reset — Beginners,UrbanWorks,original,Turbo whoosh,29,29,49562,2757,398,278,483,0.079012,rising,Public Reports,cinematic b-roll,Android,17,Dance,6,Short,8260.33,73,0.00803,0.005609,0.009745,37.256757,Friday,Evening,SummerBreak,"music, challenge, dance",Thanks for this!,98301.3,Mid,Summer,18.07.2025,2025-07,Try this move 👉 🍔,17,1,15.6,0.538,Samsung,External,1,2d17ae04f382e3a9fb3bc405d803adbf,3916,0.055627,0.001473,79.012,0.0556272951051208,0.0080303458294661,0.0056091360316371
TikTok,South Africa,Africa,English,Education,#Lifestyle,Weekly Reset — College,TrueMedia,trending,Chalkboard beat,21,29,128727,6789,687,626,1135,0.071757,seasonal,TikTok Creative Center,facecam,Android,18,Lifestyle,15,Medium,8581.8,228,0.005337,0.004863,0.008817,29.646288,Monday,Evening,Regular,"daily, lifestyle, routine",Instant like!,97756.8,Mid,Spring,19.05.2025,2025-05,Night Routine — Budget,22,0,21.8,0.752,iPhone,Following,0,397a810b4279095ae9eb0132c21908dd,9237,0.05274,0.001771,71.757,0.052739518515929,0.0053368757137197,0.0048630046532584
TikTok,South Korea,Asia,Korean,Automotive,#FYP,I flipped this sample,AhmedOfficial,licensed,Turbo whoosh,29,19,79041,5606,614,525,355,0.089827,declining,TikTok Creative Center,split-screen,Android,12,Music,4,Short,19760.25,162,0.007768,0.006642,0.004491,34.392638,Friday,Afternoon,Regular,"beat, music, cover, song",Instant like!,106317.9,Mid,Spring,18.07.2025,2025-07,I flipped this sample,21,0,15.5,0.816,Samsung,ForYou,1,fd718bba7de360978088ba8f7b04e0fd,7100,0.070925,0.00205,89.827,0.0709252160271251,0.007768120342607,0.0066421224427828
YouTube,Turkey,Europe,Turkish,Finance,#FYP,Blinding Lights — Cover,UrbanVision,licensed,Clean corporate bed,20,56,1117424,40889,5654,2683,2590,0.046371,seasonal,Public Reports,emoji overlays,Android,17,Music,8,Medium,139678.0,2183,0.00506,0.002401,0.002318,18.72207,Tuesday,Evening,Regular,"cover, song, beat",Thanks for this!,120866.4,Mid,Fall,13.05.2025,2025-05,I flipped this sample,21,0,40.5,0.723,Samsung,Home,0,eb525a0de075b92f3918d58d80989c08,51816,0.036592,0.001954,46.371,0.0365921977691547,0.0050598519451882,0.0024010581480261
YouTube,Canada,North America,English,DIY,#Relatable,When your friend is College,BeyondHub,trending,Woodshop groove,13,18,66642,2762,351,302,226,0.054635,declining,TikTok Creative Center,cinematic b-roll,Android,23,Comedy,4,Short,16660.5,106,0.005267,0.004532,0.003391,25.813084,Tuesday,Night,HolidaySeason,"funny, sketch, relatable, comedy",Can’t stop watching 😂,108139.9,Mid,Winter,25.03.2025,2025-03,When your friend is Beginners,29,0,13.4,0.744,Vivo,Home,0,4747759a62b88237432609b9d7ffb968,3641,0.041445,0.001591,54.635,0.0414453347738663,0.0052669487710452,0.0045316767203865
YouTube,Spain,Europe,Spanish,Gaming,#Motivation,Night Routine — Beginners,DiegoChannel,licensed,Boss fight theme,29,48,65377,1185,146,128,97,0.0238,seasonal,TikTok Creative Center,b-roll heavy,Web,12,Education,6,Short,10896.17,152,0.002233,0.001958,0.001484,7.745098,Sunday,Afternoon,Regular,"productivity, learn, study, tips",¡Increíble!,104173.4,Mid,Winter,20.07.2025,2025-07,Exam Day Routine,16,0,30.3,0.631,Desktop,Search,1,fd96e0e58ba802403cc6107b9c25e23c,1556,0.018126,0.002325,23.8,0.0181256405157777,0.0022332012787371,0.0019578750936873
TikTok,United States,North America,English,Automotive,#Relatable,If Summer was honest,LiamTV,trending,Engine rev,28,34,148412,11083,1336,1027,707,0.095363,rising,TikTok Creative Center,hook in 2s,Android,9,Comedy,5,Short,29682.4,464,0.009002,0.00692,0.004764,23.834409,Friday,Morning,Regular,"relatable, funny, comedy, sketch",Instant like!,87413.2,Mid,Fall,11.07.2025,2025-07,If College was honest,21,0,21.9,0.644,iPhone,Search,1,aecc1f2096a35355217e210488ed2294,14153,0.074677,0.003126,95.363,0.074677249818074,0.0090019674958898,0.0069199256124841
